date,hits,keyword
2023-10-01,60,poncho cape
2023-10-08,74,poncho cape
2023-10-15,72,poncho cape
2023-10-22,70,poncho cape
2023-10-29,66,poncho cape
2023-11-05,62,poncho cape
2023-11-12,60,poncho cape
2023-11-19,80,poncho cape
2023-11-26,66,poncho cape
2023-12-03,73,poncho cape
2023-12-10,74,poncho cape
2023-12-17,83,poncho cape
2023-12-24,52,poncho cape
2023-12-31,34,poncho cape
2024-01-07,54,poncho cape
2024-01-14,53,poncho cape
2024-01-21,41,poncho cape
2024-01-28,31,poncho cape
2024-02-04,28,poncho cape
2024-02-11,38,poncho cape
2024-02-18,30,poncho cape
2024-02-25,28,poncho cape
2024-03-03,35,poncho cape
2024-03-10,33,poncho cape
2024-03-17,30,poncho cape
2024-03-24,35,poncho cape
2024-03-31,38,poncho cape
2024-04-07,27,poncho cape
2024-04-14,24,poncho cape
2024-04-21,33,poncho cape
2024-04-28,33,poncho cape
2024-05-05,0,poncho cape
2024-05-12,24,poncho cape
2024-05-19,0,poncho cape
2024-05-26,23,poncho cape
2024-06-02,0,poncho cape
2024-06-09,20,poncho cape
2024-06-16,0,poncho cape
2024-06-23,29,poncho cape
2024-06-30,25,poncho cape
2024-07-07,20,poncho cape
2024-07-14,30,poncho cape
2024-07-21,24,poncho cape
2024-07-28,18,poncho cape
2024-08-04,25,poncho cape
2024-08-11,41,poncho cape
2024-08-18,32,poncho cape
2024-08-25,20,poncho cape
2024-09-01,53,poncho cape
2024-09-08,48,poncho cape
2024-09-15,26,poncho cape
2024-09-22,44,poncho cape
2024-09-29,57,poncho cape
2024-10-06,51,poncho cape
2024-10-13,85,poncho cape
2024-10-20,70,poncho cape
2024-10-27,70,poncho cape
2024-11-03,67,poncho cape
2024-11-10,76,poncho cape
2024-11-17,85,poncho cape
2024-11-24,84,poncho cape
2024-12-01,96,poncho cape
2024-12-08,100,poncho cape
2024-12-15,87,poncho cape
2024-12-22,54,poncho cape
2024-12-29,63,poncho cape
2025-01-05,67,poncho cape
2025-01-12,51,poncho cape
2025-01-19,59,poncho cape
2025-01-26,50,poncho cape
2025-02-02,43,poncho cape
2025-02-09,60,poncho cape
2025-02-16,45,poncho cape
2025-02-23,37,poncho cape
2025-03-02,33,poncho cape
2025-03-09,37,poncho cape
2025-03-16,32,poncho cape
2025-03-23,29,poncho cape
2025-03-30,26,poncho cape
2025-04-06,29,poncho cape
2025-04-13,48,poncho cape
2020-03-08,0,shearling slippers
2020-03-15,9,shearling slippers
2020-03-22,7,shearling slippers
2020-03-29,11,shearling slippers
2020-04-05,13,shearling slippers
2020-04-12,13,shearling slippers
2020-04-19,8,shearling slippers
2020-04-26,10,shearling slippers
2020-05-03,10,shearling slippers
2020-05-10,13,shearling slippers
2020-05-17,10,shearling slippers
2020-05-24,7,shearling slippers
2020-05-31,11,shearling slippers
2020-06-07,6,shearling slippers
2020-06-14,7,shearling slippers
2020-06-21,0,shearling slippers
2020-06-28,0,shearling slippers
2020-07-05,6,shearling slippers
2020-07-12,0,shearling slippers
2020-07-19,0,shearling slippers
2020-07-26,9,shearling slippers
2020-08-02,6,shearling slippers
2020-08-09,8,shearling slippers
2020-08-16,12,shearling slippers
2020-08-23,8,shearling slippers
2020-08-30,10,shearling slippers
2020-09-06,16,shearling slippers
2020-09-13,16,shearling slippers
2020-09-20,25,shearling slippers
2020-09-27,20,shearling slippers
2020-10-04,30,shearling slippers
2020-10-11,29,shearling slippers
2020-10-18,34,shearling slippers
2020-10-25,38,shearling slippers
2020-11-01,35,shearling slippers
2020-11-08,44,shearling slippers
2020-11-15,60,shearling slippers
2020-11-22,78,shearling slippers
2020-11-29,84,shearling slippers
2020-12-06,89,shearling slippers
2020-12-13,90,shearling slippers
2020-12-20,62,shearling slippers
2020-12-27,64,shearling slippers
2021-01-03,36,shearling slippers
2021-01-10,34,shearling slippers
2021-01-17,26,shearling slippers
2021-01-24,27,shearling slippers
2021-01-31,27,shearling slippers
2021-02-07,22,shearling slippers
2021-02-14,27,shearling slippers
2021-02-21,12,shearling slippers
2021-02-28,16,shearling slippers
2021-03-07,10,shearling slippers
2021-03-14,9,shearling slippers
2021-03-21,15,shearling slippers
2021-03-28,8,shearling slippers
2021-04-04,8,shearling slippers
2021-04-11,9,shearling slippers
2021-04-18,0,shearling slippers
2021-04-25,0,shearling slippers
2021-05-02,11,shearling slippers
2021-05-09,7,shearling slippers
2021-05-16,7,shearling slippers
2021-05-23,7,shearling slippers
2021-05-30,6,shearling slippers
2021-06-06,0,shearling slippers
2021-06-13,0,shearling slippers
2021-06-20,9,shearling slippers
2021-06-27,0,shearling slippers
2021-07-04,10,shearling slippers
2021-07-11,7,shearling slippers
2021-07-18,0,shearling slippers
2021-07-25,9,shearling slippers
2021-08-01,12,shearling slippers
2021-08-08,7,shearling slippers
2021-08-15,7,shearling slippers
2021-08-22,10,shearling slippers
2021-08-29,15,shearling slippers
2021-09-05,12,shearling slippers
2021-09-12,15,shearling slippers
2021-09-19,22,shearling slippers
2021-09-26,23,shearling slippers
2021-10-03,24,shearling slippers
2021-10-10,25,shearling slippers
2021-10-17,39,shearling slippers
2021-10-24,34,shearling slippers
2021-10-31,38,shearling slippers
2021-11-07,54,shearling slippers
2021-11-14,46,shearling slippers
2021-11-21,65,shearling slippers
2021-11-28,70,shearling slippers
2021-12-05,57,shearling slippers
2021-12-12,60,shearling slippers
2021-12-19,52,shearling slippers
2021-12-26,50,shearling slippers
2022-01-02,37,shearling slippers
2022-01-09,35,shearling slippers
2022-01-16,29,shearling slippers
2022-01-23,22,shearling slippers
2022-01-30,25,shearling slippers
2022-02-06,24,shearling slippers
2022-02-13,19,shearling slippers
2022-02-20,14,shearling slippers
2022-02-27,17,shearling slippers
2022-03-06,12,shearling slippers
2022-03-13,14,shearling slippers
2022-03-20,11,shearling slippers
